university,us_news_rank_23,course_catalog_accesible,did_it_include_any_class,general_school_notes,course_1_name,course_1_url,course_1_level,course_1_dept,course_1_topic_list,course_1_software,notes,course_2_name,course_2_url,course_2_level,course_2_dept,course_2_topic_list,course_2_software,notes_19,course_3_name,course_3_url,course_3_level,course_3_dept,course_3_topic_list,course_3_software,notes_26,course_4_name,course_4_url,course_4_level,course_4_dept,course_4_topic_list,course_4_software,notes_33,course_5_name,course_5_url,course_5_level,course_5_dept,course_5_topic_list,course_5_software,notes_40,course_6_name,course_6_url,course_6_level,course_6_dept,course_6_topic_list,course_6_software,notes_47,course_7_name,course_7_url,course_7_level,course_7_dept,course_7_topic_list,course_7_software,notes_54,course_8_name,course_8_url,course_8_level,course_8_dept,course_8_topic_list,course_8_software,notes_61,course_9_name,course_9_url,course_9_level,course_9_dept,course_9_topic_list,course_9_software,notes_68,course_10_name,course_10_url,course_10_level,course_10_dept,course_10_topic_list,course_10_software,notes_75,course_11_name,course_11_url,course_11_level,course_11_dept,course_11_topic_list,course_11_software,notes_82,course_12_name,course_12_url,course_12_level,course_12_dept,course_12_topic_list,course_12_software,notes_89,course_13_name,course_13_url,course_13_level,course_13_dept,course_13_topic_list,course_13_software,notes_96,course_14_name,course_14_url,course_14_level,course_14_dept,course_14_topic_list,course_14_software,notes_103,course_15_name,course_15_url,course_15_level,course_15_dept,course_15_topic_list,course_15_software,notes_110,type,notes_12
Princeton University,1,TRUE,TRUE,NA,Data Visualization/Cultural Facts,https://registrar.princeton.edu/course-offerings/course-details?term=1232&courseid=016438,Undergrad,Anthropology,None,None,NA,Drawing Data,https://registrar.princeton.edu/course-offerings/course-details?term=1232&courseid=015842,Undergrad,Freshman Seminar / Arts,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Massachusetts Institute of Technology,2,TRUE,TRUE,NA,Design Studio: Information Design and Visualization,https://infodesign.mit.edu/index.html,Both,Architecture,None,None,NA,Interactive Data Visualization and Society,http://vis.csail.mit.edu/classes/6.859/,Both,Electrical Engineering and Computer Science,Interactive Graphics,"Tableau, Vega-Lite, D3.js",NA,"Big Data, Visualization, and Society",http://dataviz-riyadh.mit.edu/course.html,Both,Urban Studies and Planning,Networks,"Python, HTML, CSS, JavaScript, D3.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Harvard University,3,TRUE,TRUE,NA,Visualization,https://canvas.harvard.edu/courses/108108/assignments/syllabus,Undergrad,Computer Science,Interactive Graphics,"HTML, CSS, JavaScript, D3.js",NA,Data and Information Visualization / Advanced Data and Information Visualization,https://www.hks.harvard.edu/courses/data-and-information-visualization,Grad,Public Policy,"Spatial Data, Interactive Graphics","Microsoft Excel, Google Sheets, Tableau, Florish, Datawrapper, ArcGIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Yale University,3,TRUE,TRUE,NA,Environmental Data Visualization for Communication,https://resources.environment.yale.edu/courses/detail/603,Grad,Environment,None,"Mircrosoft Excel, R, Tableau",NA,"Critical Data Visualization: History, Theory, and Practice",NA,Undergrad,History,NA,None,NA,Data and Information Visualization,https://courses.yale.edu/?keyword=visualization&srcdb=202203,Undergrad,Computer Science,Spatial Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Stanford University,3,TRUE,TRUE,NA,Principles and Techniques for Data Visualization,NA,Both,Biosciences Interdisciplinary,NA,NA,NA,Data Visualization,https://online.stanford.edu/courses/cs448b-data-visualization,Grad,Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Chicago,6,TRUE,TRUE,NA,Data Visualization Techniques,NA,Grad,Professional Education,NA,None,NA,Data Visualization and Communication,NA,Undergrad,Data Science Institute,NA,None,NA,Data Visualization,http://people.cs.uchicago.edu/~glk/class/datavis18/,Undergrad,Computer Science,High Dimensional,D3.js,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Pennsylvania,7,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Johns Hopkins University,7,TRUE,TRUE,NA,Visualizing Data,NA,Undergrad,Political Science,Interactive Graphics,None,NA,Data Visualization,Government,Grad,Government,NA,None,NA,Data Visualization,NA,Grad,Electrical and Computer Engineering,NA,None,NA,Genomic Data Visualization,NA,Undergrad,Biomedical Engineering,NA,None,NA,Data Visualization,NA,Grad,Computer Science,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
California Institute of Technology,9,TRUE,TRUE,NA,Data Visualization Projects,NA,Both,Scientific and Engineering Communication,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Duke University,10,TRUE,TRUE,NA,Advanced Data Visualization,https://stat.duke.edu/courses/advanced-data-visualization,Undergrad,"Statistical Science, Information Science + Studies","Statistical Modeling, Hypothesis Testing",R,NA,Data Visualization for Biomedical Sciences,https://graduateschool.bulletins.duke.edu/courses/0286711,Grad,Biomedical Sciences,None,R,Only open to students in the School of Medicine PhD programs,Data Visualization for Engineering Managers,https://www.coursicle.com/duke/courses/EGRMGMT/587/,Graduate,Engineering Management,None,None,NA,"Data Logic, Visualization, and Storytelling",https://datascience.duke.edu/academics/mids-courses/data-logic-visualization-and-storytelling/,Grad,Statistical Science,None,Tableau,NA,Data Visualization,NA,Grad,Business,None,"Tableau, Crystal Report, R",NA,Data Visualization for Social Science,https://sociology.duke.edu/courses/data-visualization-social-science,Undergraduate,Sociology,None,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
